"Player"	"Streak"	"RafflesWon"	"RafflesJoined"	"ExpectedRafflesWon"	"CoinsWon"	"ExpectedCoinsWon"
"Eternity"	"1"	"2"	"17"	"1,8750471750471747"	"10"	"8,11013431013431"
"ED"	"2"	"9"	"71"	"9,598928848928848"	"49"	"67,55989010989013"
"General Mo"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"0,41666666666666663"
"Notstop"	"0"	"0"	"1"	"0,125"	"0"	"0,625"
"Tylorious"	"0"	"0"	"4"	"0,5317460317460317"	"0"	"2,579365079365079"
"Uni-D"	"0"	"0"	"4"	"0,44567099567099566"	"0"	"7,343506493506494"
"The Undisc"	"0"	"0"	"0"	"0"	"0"	"0"
"Pierre Rey"	"0"	"0"	"0"	"0"	"0"	"0"
"3rd man"	"0"	"0"	"3"	"0,46111111111111114"	"0"	"2,6666666666666665"
"Debilito"	"1"	"1"	"1"	"0,1"	"6"	"0,6000000000000001"
"iDaCrack"	"0"	"0"	"0"	"0"	"0"	"0"
"SmokeEater"	"0"	"0"	"3"	"0,3214285714285714"	"0"	"1,8571428571428572"
"Akstozza"	"0"	"0"	"0"	"0"	"0"	"0"
"Fire"	"0"	"0"	"2"	"0,325"	"0"	"1,1"
"TheKai"	"1"	"6"	"57"	"7,969094794094794"	"30"	"71,29738594738592"
"Staminone"	"0"	"0"	"2"	"0,18333333333333335"	"0"	"1,1833333333333333"
"Kranpus"	"0"	"0"	"0"	"0"	"0"	"0"
"ErrorIV"	"0"	"0"	"1"	"0,5"	"0"	"2,5"
"Har"	"0"	"0"	"2"	"0,16783216783216784"	"0"	"0,6713286713286714"
"Please ent"	"1"	"1"	"2"	"1,1"	"5"	"5,5"
"PackMan97"	"0"	"0"	"3"	"0,22916666666666666"	"0"	"1,1458333333333333"
"Harris"	"1"	"1"	"4"	"0,625"	"6"	"11,583333333333334"
"magnuss"	"1"	"3"	"11"	"2,426129426129426"	"20"	"19,79175824175824"
"silverbird"	"0"	"0"	"1"	"0,07142857142857142"	"0"	"0,42857142857142855"
"Jk"	"0"	"0"	"1"	"0,125"	"0"	"0,875"
"Bob dickta"	"0"	"0"	"1"	"0,125"	"0"	"0,875"
"BobMod"	"0"	"0"	"0"	"0"	"0"	"0"
"Comefalos"	"0"	"0"	"1"	"0,07692307692307693"	"0"	"0,38461538461538464"
"Mod"	"0"	"0"	"1"	"0,07692307692307693"	"0"	"0,38461538461538464"
"Nerdy Scar"	"0"	"0"	"0"	"0"	"0"	"0"
"RileyTheSc"	"0"	"0"	"0"	"0"	"0"	"0"
"oxycontin"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,4545454545454546"
